id,name,city,state,Latitude,Longitude,C_D,Street number,Street,City,State,Country,Zip,Full_Address,,,,,,,,c_d
110,Renegade Brewing Company,Denver, CO,39.7392358,-104.990251,Denver  CO,,,Denver,Colorado,United States,,"Denver, Denver County, Colorado, United States",,,,,,,,DenverCO
263,Denver Beer Company,Denver, CO,39.7392358,-104.990251,Denver  CO,,,Denver,Colorado,United States,,"Denver, Denver County, Colorado, United States",,,,,,,,DenverCO
294,Black Shirt Brewing Company,Denver, CO,39.7392358,-104.990251,Denver  CO,,,Denver,Colorado,United States,,"Denver, Denver County, Colorado, United States",,,,,,,,DenverCO
391,Breckenridge Brewery,Denver, CO,39.7392358,-104.990251,Denver  CO,,,Denver,Colorado,United States,,"Denver, Denver County, Colorado, United States",,,,,,,,DenverCO
424,Wynkoop Brewing Company,Denver, CO,39.7392358,-104.990251,Denver  CO,,,Denver,Colorado,United States,,"Denver, Denver County, Colorado, United States",,,,,,,,DenverCO
459,River North Brewery,Denver, CO,39.7392358,-104.990251,Denver  CO,,,Denver,Colorado,United States,,"Denver, Denver County, Colorado, United States",,,,,,,,DenverCO
135,Pug Ryans Brewery,Dillon, CO,39.6302643,-106.0433518,Dillon  CO,,,Dillon,Colorado,United States,,"Dillon, Summit County, Colorado, United States",,,,,,,,DillonCO
531,Dolores River Brewery,Dolores, CO,37.4738818,-108.5045356,Dolores  CO,,,Dolores,Colorado,United States,81323,"Dolores, Montezuma County, Colorado, United States, 81323",,,,,,,,DoloresCO
119,Steamworks Brewing Company,Durango, CO,37.27528,-107.8800667,Durango  CO,,,Durango,Colorado,United States,,"Durango, La Plata County, Colorado, United States",,,,,,,,DurangoCO
264,Ska Brewing Company,Durango, CO,37.27528,-107.8800667,Durango  CO,,,Durango,Colorado,United States,,"Durango, La Plata County, Colorado, United States",,,,,,,,DurangoCO
107,Bonfire Brewing Company,Eagle, CO,39.6552634,-106.8286507,Eagle  CO,,,Eagle,Colorado,United States,81631,"Eagle, Eagle County, Colorado, United States, 81631",,,,,,,,EagleCO
63,Crazy Mountain Brewing Company,Edwards, CO,39.644986,-106.5942,Edwards  CO,,,Edwards,Colorado,United States,81632,"Edwards, Eagle County, Colorado, United States, 81632",,,,,,,,EdwardsCO
420,Gore Range Brewery,Edwards, CO,39.644986,-106.5942,Edwards  CO,,,Edwards,Colorado,United States,81632,"Edwards, Eagle County, Colorado, United States, 81632",,,,,,,,EdwardsCO
